ID;Q002;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q019;Q020;Q021;Q022;Q023;Q024;Q025;peso
196;2;6;2;6;1;6;17;2;1;3;5;4;6;4;2;2;7;1;2;4;2;1,68
197;2;6;2;1;1;7;16;3;1;1;4;4;3;1;3;2;6;;1;4;1;0,48
198;1;5;1;6;1;5;17;5;1;1;4;4;5;4;3;2;7;1;2;4;2;0,97
199;2;6;2;5;1;6;17;2;1;2;2;2;3;3;3;2;7;1;1;5;1;0,48
200;1;6;5;4;2;7;17;4;1;1;2;2;7;5;2;2;7;1;3;4;2;0,21
201;2;6;1;1;1;6;16;6;1;1;2;3;6;1;2;2;6;;1;4;2;1,39
202;2;6;4;6;1;5;10;6;1;1;1;2;7;3;3;1;2;2;2;4;2;1,17
203;1;6;1;6;2;5;17;4;1;1;2;2;8;4;3;2;7;2;3;4;3;0,25
204;2;6;5;6;1;6;16;4;1;1;2;5;9;4;3;2;6;;1;5;4;0,97
205;2;6;1;6;1;5;17;5;1;1;1;3;6;4;3;2;7;2;2;4;2;0,49
206;1;4;1;1;1;5;10;7;1;1;1;1;6;1;4;1;2;2;2;3;2;0,63
207;2;5;1;2;1;7;17;4;1;1;2;3;7;3;3;2;7;1;1;4;2;0,61
208;1;4;1;3;2;5;7;6;1;1;2;3;7;3;1;1;2;1;3;3;2;0,21
209;1;6;5;5;2;6;17;1;1;1;4;4;3;4;3;2;7;2;3;4;1;0,28
210;1;5;4;1;1;5;2;2;1;1;4;4;3;3;3;1;1;;2;4;1;0,77
211;1;4;3;3;1;2;10;5;1;1;2;4;7;3;2;1;2;2;2;3;2;0,75
212;1;4;3;3;1;4;11;3;1;1;4;4;8;2;4;1;2;1;2;3;3;0,5
213;1;4;5;3;2;5;9;2;1;1;2;3;6;3;3;1;2;1;3;3;2;0,6
214;1;6;1;4;1;6;17;4;1;2;3;4;5;3;2;2;7;2;2;4;2;0,74
215;1;5;5;1;1;7;10;5;1;1;2;2;10;1;3;1;2;1;2;3;;0,96
216;2;6;4;6;2;6;17;4;1;1;5;4;10;4;2;2;7;1;3;4;;0,18
217;2;6;2;4;1;6;17;4;1;1;1;1;6;3;4;2;7;2;2;4;2;0,76
218;2;6;4;4;1;5;16;6;1;1;1;2;1;2;2;2;6;;1;5;1;0,5
219;1;4;1;1;1;6;18;1;1;1;3;4;3;1;4;2;4;2;2;3;1;2,54
220;1;6;2;5;1;5;17;3;1;1;1;3;4;3;4;2;7;1;1;4;1;0,77
221;1;4;4;4;2;5;10;6;1;1;3;4;10;3;4;1;2;1;3;3;;0,22
222;2;6;1;6;1;5;16;2;1;2;3;4;1;3;3;2;6;;2;5;1;1,39
223;2;6;4;4;2;5;5;5;1;3;2;2;8;5;2;1;1;;3;4;3;0,18
224;1;3;3;4;2;2;4;6;1;2;4;4;7;5;4;1;1;;3;2;2;0,22
225;2;4;4;6;2;5;9;7;1;3;4;4;5;4;2;1;2;1;3;3;2;0,77
226;1;5;2;3;2;5;4;1;1;2;4;4;8;2;3;1;1;;3;4;3;0,56
227;1;6;3;6;2;6;17;3;1;1;4;4;6;4;2;2;7;2;3;5;2;0,22
228;1;5;2;3;1;5;17;4;1;1;1;3;6;3;2;2;7;1;1;4;2;0,76
229;1;4;2;2;1;6;10;4;1;2;4;4;3;3;2;1;2;2;2;3;1;0,7
230;2;6;1;1;2;6;17;5;1;1;2;3;3;1;2;2;7;1;3;4;1;0,21
231;1;4;2;2;1;4;10;5;1;3;4;4;7;1;4;1;2;2;2;3;2;0,7
232;2;6;4;4;2;7;17;4;1;1;2;3;3;3;4;2;7;2;3;4;1;0,18
233;1;6;1;6;2;6;17;5;1;1;2;4;8;4;3;2;7;1;3;4;3;0,25
234;1;5;5;3;2;5;7;1;1;1;2;4;5;5;2;1;2;1;3;4;2;0,43
235;1;6;2;3;1;5;17;4;1;1;2;2;6;2;2;2;7;2;2;4;2;0,82
236;1;4;5;6;2;5;10;2;1;1;4;4;6;4;2;1;2;1;3;3;2;0,6
237;2;6;1;4;1;5;17;5;1;1;1;4;3;3;3;2;7;1;2;4;1;0,63
238;2;6;2;1;1;5;17;2;1;3;2;5;2;3;3;2;7;1;2;4;1;1,47
239;1;6;1;1;1;3;17;2;1;1;4;4;8;3;3;2;7;2;2;4;3;1,65
240;1;6;4;6;1;5;17;4;1;1;1;3;3;3;3;2;7;2;2;4;1;0,72
241;2;3;3;2;2;4;14;5;1;1;2;2;9;1;3;2;5;;3;2;4;0,31
